file,energy_0,homogenity_0,entrophy_0,contras_0,energy_45,homogenity_45,entrophy_45,contras_45,energy_90,homogenity_90,entrophy_90,contras_90,energy_135,homogenity_135,entrophy_135,contras_135,Target
data\Blight\Corn_Blight (111).JPG,0.0004072769376007393,178.49729330708635,8.18486121483893,177.497293307087,0.00037343840575213195,193.35681071362075,8.244527841971445,192.35681071362097,0.00048708544682713194,72.98874261810977,7.936126660743841,71.98874261810957,0.0003816357685415481,178.07328414656743,8.218762245271497,177.0732841465672,Blight
data\Blight\Corn_Blight (112).JPG,0.0005425559557174245,97.5193774606283,8.127788099333316,96.519377460629,0.000507483065930158,111.75373550747413,8.166176600799611,110.75373550747075,0.0006368087076995166,48.05462598425226,7.897787891619638,47.054625984251764,0.00042787542949993733,130.48000496001345,8.303243649812982,129.48000496000978,Blight
data\Blight\Corn_Blight (113).JPG,0.0004047472084201773,191.48898868110183,8.228576927332671,190.48898868110234,0.00037888729754761714,206.61398722797287,8.286120817946653,205.6139872279755,0.0005727329569894076,89.86466535432997,7.916103048187719,88.86466535432997,0.00036544093176220686,240.9545539091059,8.32491694537062,239.95455390910692,Blight
data\Blight\Corn_Blight (114).JPG,0.00024147466507822186,213.17390501968487,8.640187941924951,212.17390501968535,0.00024444862579355497,206.70450740901242,8.632924941171995,205.70450740901455,0.0004089684693041083,52.75461368110304,8.147923500010693,51.75461368110193,0.00023366424065606286,226.94444788889288,8.661605545098812,225.94444788889513,Blight
data\Blight\Corn_Blight (115).JPG,0.0002721152292890369,283.58409202755837,8.594805767749156,282.58409202755945,0.0002542585530332134,308.9310558621114,8.636833908925986,307.93105586211107,0.00031334394944179255,186.33280019684958,8.430809231117417,185.33280019685,0.0002567936811737169,322.37615475230814,8.638021857772245,321.3761547523097,Blight
data\Blight\Corn_Blight (116).JPG,0.0004841356728611822,163.22490157480294,8.099914624015586,162.224901574803,0.0004731771507067017,130.04885609771344,8.068234678260582,129.0488560977127,0.0005068464726773266,97.88133612204737,7.989643091629062,96.88133612204649,0.00044817375269320616,203.26815053630006,8.173846353690655,202.26815053630065,Blight
data\Blight\Corn_Blight (117).JPG,0.0005291693932997326,149.98431348425126,7.937649481905432,148.9843134842519,0.0005136334905318705,152.8469216938434,7.9542957769749165,151.84692169384388,0.0009991276086068251,37.345041830708794,7.310266187111048,36.345041830708695,0.000503464147854538,165.952631905263,7.984838979174114,164.95263190526413,Blight
data\Blight\Corn_Blight (118).JPG,0.0003818774727393038,185.79324557086633,8.314830581493549,184.79324557086633,0.00036098571794138573,222.16733833467413,8.360279776081144,221.16733833467555,0.0004823533206636572,109.87942913385697,8.074119620172237,108.87942913385696,0.0003585486121929753,199.49711699423278,8.345986591949892,198.49711699423293,Blight
data\Blight\Corn_Blight (119).JPG,0.0004283170187433958,109.74514025590368,8.077834105283284,108.7451402559043,0.00038779195916624595,126.09163618327459,8.14776601660955,125.09163618327277,0.0005296424167067421,62.36011318897659,7.8810071228121705,61.360113188975824,0.0003866118464457966,130.68553537107226,8.165486821429381,129.6855353710714,Blight
data\Blight\Corn_Blight (120).JPG,0.0006950246444438614,132.63250492125914,8.008051844872861,131.63250492125925,0.000605465095857948,132.714117428236,8.046249789178274,131.71411742823517,0.0006671749183342421,80.06379183070771,7.935876744396914,79.06379183070791,0.0005637671390662887,155.90668981337953,8.144898891193325,154.90668981337984,Blight
data\Blight\Corn_Blight (121).JPG,0.0003736809231430723,246.22994586613953,8.32685506952994,245.22994586614186,0.00035935393341423563,267.98772397544724,8.355429970099761,266.98772397544695,0.0005572859046109015,93.10593011810948,7.922905199133876,92.10593011810926,0.00036350354801267424,253.1111662223296,8.33882349144547,252.11116622233092,Blight
data\Blight\Corn_Blight (122).JPG,0.00034320875526514633,236.41922982283313,8.46460155433675,235.41922982283398,0.00032087918351545624,274.3143406286805,8.51283490490507,273.314340628681,0.0004155132211631444,87.30062746062862,8.206485860400534,86.300627460629,0.0003313406713613527,220.65540331080462,8.468075830823565,219.65540331080607,Blight
data\Blight\Corn_Blight (123).JPG,0.0004492511426428941,166.60445374015774,8.242800639179155,165.60445374015723,0.0003774400257585892,172.03143406286853,8.309781426798171,171.03143406286765,0.000510494429192001,73.57800196850326,7.958324643767823,72.5780019685031,0.00039127655910466727,183.59464318928565,8.300898912158756,182.59464318928596,Blight
data\Blight\Corn_Blight (124).JPG,0.0005807119158184197,164.64013287401576,7.886719553972169,163.64013287401508,0.0005703231072901168,161.4300328600655,7.890728125196995,160.43003286006586,0.0007302667803578324,62.713152066929375,7.633675704448779,61.71315206692883,0.0005562001947985195,180.0817161634312,7.926621835386457,179.08171616343168,Blight
data\Blight\Corn_Blight (125).jpg,0.0005732381459880807,141.87087844488101,7.865429056538088,140.87087844488116,0.00057381731726696,131.82906565813232,7.853402743275583,130.82906565813138,0.0005988116834632683,117.52885088582686,7.811867593270419,116.52885088582659,0.0005102968851854796,205.45489490978807,7.9819995010463565,204.45489490978954,Blight
data\Blight\Corn_Blight (126).JPG,0.0004331929440225937,99.11085137795278,8.040656659564258,98.11085137795229,0.0003806709206821304,140.8823857647718,8.17049459762595,139.8823857647718,0.0005055768778529847,66.68577755905515,7.867331601396839,65.68577755905507,0.00046494903579426033,84.95672391344924,7.95153249644213,83.95672391344795,Blight
data\Blight\Corn_Blight (127).JPG,0.000363860957214085,176.12112450787347,8.425317003749232,175.1211245078737,0.00033247849991263585,198.69173538346962,8.46016780513789,197.69173538347027,0.0004841356728611753,118.40784940944793,8.106896059264677,117.40784940944746,0.00031578778514984313,241.51181102362023,8.50064541524176,240.51181102362227,Blight
data\Blight\Corn_Blight (128).JPG,0.0002656045351153057,245.01611712598398,8.528506651952053,244.01611712598393,0.00026516594666269586,239.41099882199458,8.523226529131932,238.4109988219982,0.000368757695523187,116.6197096456682,8.2169044727813,115.61970964566835,0.00025237114148353565,283.2066464132912,8.57515852083533,282.2066464132927,Blight
data\Blight\Corn_Blight (129).JPG,0.0002739789415125626,298.1969734251962,8.56689701522796,297.19697342519606,0.0002538472433879705,334.84698369397086,8.619675795173933,333.84698369396733,0.0003055882576608836,210.7552903543305,8.442407335578624,209.75529035432993,0.0002558499753988913,345.4177568355153,8.619828315796893,344.4177568355117,Blight
data\Blight\Corn_Blight (130).jpg,0.0005020556916114029,198.96179872047216,8.216335330555285,197.96179872047102,0.0004896564446238069,136.12046624093335,8.161942356086808,135.12046624093307,0.0005493731690588564,71.92242864173171,7.985567627643413,70.92242864173126,0.0004506685186722562,272.0536301072598,8.33553930785772,271.05363010726,Blight
data\Blight\Corn_Blight (131).JPG,0.0004403204607190273,167.62659940944894,8.24569741770187,166.62659940944926,0.0003842919831663564,201.93607787215493,8.318451164490241,200.9360778721551,0.0005639025560277817,86.49495570866048,7.939645363360021,85.49495570866046,0.00039434408337471786,185.66588133176154,8.29363168744231,184.66588133176268,Blight
